,"INT","INTF","DOMINICAN REPUBLIC","1809",726,"null",2007-07-01,001809726,9,2007-06-28 18:14:50.154011,
,"INT","INTM","DOMINICAN REPUBLIC MOBILE","1809",727,"null",2007-07-01,001809727,9,2007-06-28 18:14:50.154011,
,"INT","INTF","DOMINICAN REPUBLIC","1809",728,"null",2007-07-01,001809728,9,2007-06-28 18:14:50.154011,
TELECOM PERSONAL SOCIEDAD ANONIMA[0831],"SRMC/STM/PCS","CPP","AMBA","11",2601,"SC 25/2013",2013-12-04,112601,6,2014-11-20 01:38:15.378988,
TELECOM PERSONAL SOCIEDAD ANONIMA[0831],"SRMC/STM/PCS","CPP","AMBA","11",2602,"SC 25/2013",2013-12-04,112602,6,2014-11-20 01:38:15.378988,
TELECOM PERSONAL SOCIEDAD ANONIMA[0831],"SRMC/STM/PCS","CPP","AMBA","11",2603,"SC 25/2013",2013-12-04,112603,6,2014-11-20 01:38:15.378988,
TELECOM PERSONAL SOCIEDAD ANONIMA[0831],"SRMC/STM/PCS","CPP","AMBA","11",2604,"SC 25/2013",2013-12-04,112604,6,2014-11-20 01:38:15.378988,
TELECOM PERSONAL SOCIEDAD ANONIMA[0831],"SRMC/STM/PCS","CPP","AMBA","11",2605,"SC 25/2013",2013-12-04,112605,6,2014-11-20 01:38:15.378988,
TELECOM PERSONAL SOCIEDAD ANONIMA[0831],"SRMC/STM/PCS","CPP","AMBA","11",2606,"SC 25/2013",2013-12-04,112606,6,2014-11-20 01:38:15.378988,
TELECOM PERSONAL SOCIEDAD ANONIMA[0831],"SRMC/STM/PCS","CPP","AMBA","11",2607,"SC 25/2013",2013-12-04,112607,6,2014-11-20 01:38:15.378988,
TELECOM PERSONAL SOCIEDAD ANONIMA[0831],"SRMC/STM/PCS","CPP","AMBA","11",2608,"SC 25/2013",2013-12-04,112608,6,2014-11-20 01:38:15.378988,
TELECOM PERSONAL SOCIEDAD ANONIMA[0831],"SRMC/STM/PCS","CPP","AMBA","11",2609,"SC 25/2013",2013-12-04,112609,6,2014-11-20 01:38:15.378988,
TELECOM PERSONAL SOCIEDAD ANONIMA[0831],"SRMC/STM/PCS","CPP","AMBA","11",2610,"SC 25/2013",2013-12-04,112610,6,2014-11-20 01:38:15.378988,
TELECOM PERSONAL SOCIEDAD ANONIMA[0831],"SRMC/STM/PCS","CPP","AMBA","11",2611,"SC 25/2013",2013-12-04,112611,6,2014-11-20 01:38:15.378988,
TELECOM PERSONAL S.A. CUIT 30-67818644-5[0374],"PCS","CPP","ESQUEL","2945",44,"Exp. 1895/07",2007-04-11,294544,6,2007-07-13 19:39:15.226187,
TELEFONICA DE ARGENTINA S.A.[0376],"SBT","BASICA","ESQUEL","2945",45,"SC 2233/98",1998-10-02,294545,6,2007-06-25 17:09:52.35298,
TELEFONICA MOVILES ARGENTINA S.A. (ex Unifon) CUIT 30-67881435-7[0375],"STM","MPP","ESQUEL","2945",460,"SC 2233/98",1998-10-02,2945460,7,2007-06-25 17:09:52.35298,
COOPERATIVA REGIONAL DE ELECTRICIDAD, DE OBRAS Y OTROS SERVICIOS DE GENERAL PICO LIMITADA[1066],"SBT","BASICA","GENERAL PICO","2302",32,"AFTIC 120/03",2010-09-15,230232,6,2015-10-13 01:54:42.078658,
COOPERATIVA REGIONAL DE ELECTRICIDAD, DE OBRAS Y OTROS SERVICIOS DE GENERAL PICO LIMITADA[1066],"SBT","BASICA","GENERAL PICO","2302",33,"AFTIC 120/03",2010-09-15,230233,6,2015-10-13 01:54:42.078658,
CTI COMPAÑIA DE TELEFONOS DEL INTERIOR S.A. CUIT 30-66328849-7[0005],"STM","MPP","ESQUEL","2945",461,"SC 2233/98",1998-10-02,2945461,7,2007-06-25 17:09:52.35298,
TELEFONICA DE ARGENTINA S.A.[0376],"SBT","BASICA","ESQUEL","2945",462,"SC 225/01",2001-07-16,2945462,7,2007-06-25 17:09:52.35298,
TELEFONICA DE ARGENTINA S.A.[0376],"SBT","BASICA","ESQUEL","2945",463,"SC 225/01",2001-07-16,2945463,7,2007-06-25 17:09:52.35298,
